SONIKA	ಸೋನಿಕಾ
CHITRADURG	ಚಿತ್ರದುರ್ಗ
DELMARVA	ಡೇಲ್ಮಾರ್ವ
CONFEDERATION	ಕಾನ್ಫೆಡರೇಶನ್
KIFAYAT	ಕಿಫಾಯತ್
REGINA MARIA PIA	ರೆಜಿನಾ ಮಾರಿಯಾ ಪೀ
ROBERT SAMUELS	ರಾಬರ್ಟ್ ಸ್ಯಾಮುಯಲ್ಸ್
DAITYARI	ದೈತ್ಯಾರಿ
CHILKAT	ಚಿಲ್ಕಟ್
GANDHARIN	ಗಾಂಧಾರಿನ್
JACQUES	ಜ್ಯಾಕ್ವಿಸ್
EK SE BHALE DO	ಏಕ್ ಸೇ ಭಲೆ ದೋ
Fletcher	ಫ್ಲೆಚರ್
DHARMPUR HIMACHAL	ಧರ್ಮಪುರ್ ಹಿಮಾಚಲ್
SAU SAAL BAAD	ಸೌ ಸಾಲ್ ಬಾದ್
Dea	ಡಿಯಾ
LEANDER	ಲಿಯಾಂಡರ್
DOLTI NAIYA	ಡೋಲತೀ ನೈಯಾ
AANDHIYAN	ಆಂಧಿಯಾಂ
Arkasut	ಅರ್ಕಸುತ್
DEVAVARYA	ದೇವವರ್ಯ
COUNT DRACULA	ಕೌಂಟ್ ಡ್ರಾಕುಲಾ
MATILDA	ಮಟಿಲ್ದಾ
ORBOTECH	ಆರ್ಬೋಟೆಕ್
VIRATA	ವಿರಾಟ
DIVYANGA	ದಿವ್ಯಾಂಗ
ABDUL MUGHANEE	ಅಬ್ದುಲ್ ಮುಗಾನಿ
JEFF	ಜೆಫ್
MILLIONAIRE	ಮಿಲಿಯನರ್
SANKALPA	ಸಂಕಲ್ಪಾ
EHSANUL HAQUE	ಎಹಸಾನುಲ್ ಹಕ್
Shaukeen	ಶೌಕಿನ್
NALDURG	ನಲ್‌ದುರ್ಗ್
SUNFLAG IRON	ಸನ್‌ಫ್ಲ್ಯಾಗ್ ಐರನ್
REI AGRO	ರೀ ಆಗ್ರೋ
GURUDWARA PUNJA SAHIB	ಗುರುದ್ವಾರ ಪಂಜಾ ಸಾಹಿಬ್
ALESTER MAREGWEDE	ಆಲಿಸ್ಟರ್ ಮಾರ್ಗ್ವೆಡೆ
POONAM KI RAAT	ಪೂನಂ ಕೀ ರಾತ್
MITRAVAAN	ಮಿತ್ರವಾನ್
AAG HI AAG	ಆಗ್ ಹಿ ಆಗ್
RASHMI	ರಶ್ಮಿ
RASHMI	ರಷ್ಮಿ
PICK POCKET	ಪಿಕ್ ಪಾಕೆಟ್
AMALATAAS	ಅಮಲತಾಸ್
KING EDWARD VII	ಕಿಂಗ್ ಎಡ್ವರ್ಡ್ VII
SHUNBHANAASHINEE	ಶುಂಭನಾಶಿನಿ
ZYTKA	ಜೀತ್ಕಾ
NAQEEB	ನಖೀಬ್
Wellington	ವೆಲ್ಲಿಂಗ್ಟನ್
KYRIA	ಕಿರಿಯಾ
CLIFFE FORT	ಕ್ಲಿಫ್ ಫೋರ್ಟ್
NATIONAL PORTRAIT GALLERY	ನ್ಯಾಶನಲ್ ಫೋರ್ಟೇಟ್ ಗ್ಯಾಲರಿ
PAVANJIT	ಪವನಜಿತ್
KAL AAJ AUR KAL	ಕಲ್ ಆಜ್ ಔರ್ ಕಲ್
WAR OF THE BAVARIAN SUCCESSION	ವಾರ್ ಆಫ್ ಬವೇರಿಯನ್ ಸಕ್ಸಶೆನ್
CHAKORI	ಚಕೋರಿ
SANTIAGO	ಸಾಂಟಿಯಾಗೊ
LYRIS	ಲಿರಿಸ್
DUNDLOD	ದುಂದಲೋದ್
BHAIRAV	ಭೈರವ್
RAILWAY MUSEUM OF ATHENS	ರೈಲ್ವೆ ಮ್ಯೂಸಿಯಂ ಆಫ್ ಅಥೆನ್ಸ್
BICYCLING	ಬೈಸೈಕ್ಲಿಂಗ್
BRAHMA VISHNU MAHESH	ಬ್ರಹ್ಮಾ ವಿಷ್ಣು ಮಹೇಶ್
MANINDER	ಮಣಿಂದರ್
RAJENDRA PRASAD	ರಾಜೇಂದ್ರ ಪ್ರಸಾದ್
OMAR HENRY	ಒಮರ್ ಹೆನ್ರಿ
BIRMINGHAM	ಬರ್ಮಿಂಗ್ ಹ್ಯಾಂ
KONGO	ಕೋಂಗೊ
KONGO	ಕೋಂಗೋ
BARAATI	ಬಾರಾತಿ
DEV GAAYAK	ದೇವ್ ಗಾಯಕ್
EUROHYPO	ಯೂರೋಹೈಪೋ
Charas	ಚರಸ್
Dingwahi	ದಿಂಗವಾಹಿ
NARTANA	ನತ್ರನಾ
JUDAAI	ಜುದಾಯಿ
LAKE	ಲೇಕ್
STERLING	ಸ್ಟರ್ಲಿಂಗ್
COMMERZBANK	ಕಾಮರ್ಝ್ ಬ್ಯಾಂಕ್
ABHISYANT	ಅಭಿಷ್ಯಂತ್
BARCELONA	ಬಾರ್ಸಿಲೋನಾ
PRAWARA	ಪ್ರವರ
MERE HUMDUM MERE DOST	ಮೇರೆ ಹಮ್‌ದಮ್ ಮೇರೆ ದೋಸ್ತ್
KHAHIRA	ಖಹೀರಾ
CANBERRA	ಕ್ಯಾನ್ ಬೆರಾ
Puri	ಪುರಿ
KHAHERA	ಖಾಹೇರಾ
RANTHAMBOR	ರಂತಂಬೋರ್
Azan	ಅಜಾನ್
CHITKALA	ಚಿತ್‌ಕಲಾ
ABDUL MUSAWWIR	ಅಬ್ದುಲ್ ಮುಸವ್ವಿರ್
DAURAM MADHPURA	ದೌರಂ ಮಧ್ಪುರಾ
JIS DESH MEIN GANGA BEHTI HAI	ಜಿಸ್ ದೇಶ್ ಮೆ ಗಂಗಾ ಬೆಹತಿ ಹೈ
HASANTHA FERNANDO	ಹಸಂತಾ ಫರ್ನಾಂಡೊ
ROGER HARPER	ರೋಜರ್ ಹಾರ್ಪರ್
KAWISHAR	ಕವೀಶರ್
MAJOR LEAGUE LACROSSE MOST IMPROVED PLAYER OF THE YEAR AWARD	ಮೆಜರ್ ಲೀಗ್ ಲಾಕ್ರೊಸ್ ಮೊಸ್ಟ್ ಇಂಪ್ರೂಡ್ ಪ್ಲೇಯರ್ ಆಫ್ ದ ಈಯರ್ ಅವಾರ್ಡ್
RANGANA	ರಂಗನಾ
AAKAASH	ಆಕಾಶ್
OLDONYO SAPUK	ಆಲ್ಡೋನ್ಯೋ ಸಪುಕ್
BHAGWANPUR	ಭಗವಾನ್‌ಪುರ್
DEVDUTTA	ದೇವದತ್ತಾ
MATERIA	ಮಟೆರಿಯಾ
BABEL	ಬಬೆಲ್
BHUTTO	ಭುಟ್ಟೊ
HAFIZUR RAHMAN	ಹಫಿಝುರ್ ರಹಮಾನ್
Giovanni	ಜಿಯೋವನ್ನಿ
KOLAR	ಕೋಲಾರ
TWYLA	ಟ್ವೈಲಾ
RENEE ZELLWEGER	ರೀನೀ ಜೆಲವೆಗರ್
MAX INDIA	ಮ್ಯಾಕ್ಸ್ ಇಂಡಿಯಾ
HOTEL	ಹೋಟೆಲ್
ESHWAR	ಈಶ್ವರ್
ELAAN	ಏಲಾನ್
HARMONY	ಹಾರ್ಮನಿ
YASMINE	ಯಾಸ್ಮಿನ್
Lorenzo	ಲೊರೆಂಝೋ
TAHIR KHAN	ತಾಹಿರ್ ಖಾನ್
DAVID TIKOLO	ಡೇವಿಡ್ ಟಿಕೊಲೊ
Tejal	ತೇಜಾ
ABDUL MUHAAYAMEEN	ಅಬ್ದುಲ್ಲ ಮುಹಾಯಮೀನ್
OKANOGAN	ಒಕನೋಗನ್
OKANOGAN	ಒಕಾನೊಗಾನ್
REPORTER	ರಿಪೋರ್ಟರ್
ULFAT	ಉಲ್ಫತ್
SARFRAZ NAWAZ	ಸರ್ಫರಾಜ್ ನವಾಜ್
AMULYA	ಅಮೂಲ್ಯ
YAMINEE	ಯಾಮಿನೀ
DAK BUNGLA	ಡಾಕ್ ಬಂಗಲಾ
LADDIE	ಲಾಡ್ಡಿ
ORDER OF SAINT GEORGE	ಆರ್ಡರ್ ಆಫ್ ಸೇಂಟ್ ಜಾರ್ಜ್
LARAINE	ಲಾರೈನೆ
MOTEE	ಮೋತಿ
MOTEE	ಮೋತೀ
VIBHOOSHAN	ವಿಭೂಷಣ್
WILLIE NELSON	ವಿಲೀ ವೆಲ್ಸನ್
CHRISTOPHER MARLOWE	ಕ್ರಿಸ್ಟೋಫರ್ ಮಾರ್ಲೋವೆ
SHATAYU	ಶತಾಯು
Yamaguchi	ಯಾಮಾಗುಚಿ
ULFAH	ಉಲ್ಫಾ
AUSTRAL	ಆಸ್ಟ್ರಲ್
BALAWALI	ಬಲಾವಾಲಿ
ANOKHA INSAAN	ಅನೋಖಾ ಇನ್ಸಾನ್
Padmanabh	ಪದ್ಮನಾಭ
SURBAHAR	ಸುರ್‌ಬಹಾರ್
DIL KI DUNIYA	ದಿಲ್ ಕೀ ದುನಿಯಾ
Manju	ಮಂಜು
BISWAN	ಬಿಸ್ವಾನ್
EDWIN	ಎಡ್ವಿನ್
WAHIBAH	ವಹೀಬಾ
BRIDGEPORT CHRISTIAN	ಬ್ರಿಜ್‌ಪೋರ್ಟ್ ಕ್ರಿಶ್ಚಿಯನ್
TOEA	ಟೋಯ್
PROVIDENCE	ಪ್ರಾವಿಡೆನ್ಸ್
UJJAIN	ಉಜ್ಜೈನ್
SAMBARAN	ಸಂಬರನ್
CLARKE	ಕ್ಲಾರ್ಕ್
AGOSH	ಆಗೋಶ್
ORDER OF REVERENCE	ಆರ್ಡರ್ ಆಫ್ ರೆವೆರೆನ್ಸ್
MOHUL	ಮೊಹುಲ್
FORT BARRANCAS	ಫೋರ್ಟ್ ಬಾರಂಕಾಸ್
PINGALE	ಪಿಂಗಾಲೆ
RADHAKRISHNA	ರಾಧಾಕೃಷ್ಣ
HASINA MAAN JAYEGI	ಹಸೀನಾ ಮಾನ್ ಜಾಯೆಗಿ
Kavishwar	ಕವೀಶ್ವರ್
EURYDICE	ಯ್ಯೂರಿಡೈಸ್
AKASH PARI	ಆಕಾಶ್ ಪರಿ
GHATAMPUR	ಘಾತಮಪುರ್
GOLD,	ಗೋಲ್ಡ್,
SIGNAL HILL	ಸಿಗ್ನಲ್ ಹಿಲ್
PARAMITA	ಪರಮಿತ
GIRDHAR GOPAL KI MIRA	ಗಿರಧರ್ ಗೋಪಾಲ್ ಕಿ ಮೀರಾ
CRICKETER	ಕ್ರಿಕೆಟರ್
SPECTRAMIND	ಸ್ಪೆಕ್ಟ್ರಾಮೈಂಡ್
LOJKI	ಲೋಜ್ಕಿ
BHAUMIK	ಭೌಮಿಕ್
VESUVIUS INDIA	ವೆಸುವಿಯಸ್ ಇಂಡಿಯಾ
DIMOW	ದಿಮೋವ್
ABDUS SHAHEED	ಅಬ್ದುಸ್ ಶಹೀದ್
SHIV CHARAN	ಶಿವ ಶರಣ್
SHAHEED-E-AZAM BHAGAT SINGH	ಶಹೀದ್-ಎ-ಆಜಮ್ ಭಗತ್ ಸಿಂಗ್
GUJHANDI	ಗುಜಹಂಡಿ
Laiqah	ಲೈಖಾಹ್
MANUHAAR	ಮನುಹಾರ
CHANETI	ಚನೆಟೀ
LAVANGI	ಲಾವಂಗಿ
VIDISHA	ವಿದಿಶಾ
GARHWAL	ಗರ್ವಾಲ್
SMRUTI	ಸ್ಮೃತಿ
ROSIE	ರೋಸಿ
Arib	ಅರೀಬ್
SAINT CROIX	ಸೇಂಟ್ ಕ್ರೋಕ್ಸ್
PIYALI	ಪಿಯಾಲಿ
MARTIN BICKNELL	ಮಾರ್ಟಿನ್ ಬಿಕ್ನೆಲ್
MAHARAJA VIKRAM	ಮಹಾರಾಜಾ ವಿಕ್ರಮ್
Nalvadi	ನಲ್ವಾಡಿ
DHAMPUR SUGAR	ಧಾಮಪುರ್ ಶುಗರ್
DARRITOLA	ದಾರೀತೋಲಾ
SHREYASHI	ಶ್ರೇಯಶಿ
CHIPURUPALLE	ಚಿಪುರುಪಲ್ಲಿ
MILLICENT	ಮಿಲ್ಲಿಸೆಂಟ್
BHADRAKH	ಭದ್ರಾಖ್
BALHARSHAH	ಬಾಲಹರ್‌ಶಾ
GOVERNMENT MODEL HIGHER SECONDARY SCHOOL, THIRUVANANTHAPURAM	ಗವರ್ನಮೆಂಟ್ ಮಾಡೆಲ್ ಹೈಯ್ಯರ್ ಸೆಕೆಂಡರಿ ಸ್ಕೂಲ್, ತಿರುವನಂತಪುರಂ
FORT SAINT PHILIP	ಫೋರ್ಟ್ ಸೆಂಟ್ ಫಿಲಿಪ್
KUSUMAADHIRAAJ	ಕುಸುಮಾಧಿರಾಜ
HABIBUL BASHAR	ಹಬೀಬುಲ್ ಬಶರ್
KULLU	ಕುಲ್ಲು
SHIV PARVATI	ಶಿವ ಪಾರ್ವತಿ
GAGAN KHODA	ಗಗನ್ ಖೋಡಾ
PRABHSIMRAN	ಪ್ರಭಸಿಮ್ರನ್
PREM KI JYOTI	ಪ್ರೇಮ್ ಕಿ ಜ್ಯೋತಿ
BABRUYSK FORTRESS	ಬಬ್ರುಸ್ಕ್ ಫೋಟ್ರೆಸ್
FRANKLIN MEDAL	ಫ್ರ್ಯಾಂಕ್ಲಿನ್ ಮೆಡಲ್
BHONE	ಭೋನೆ
BORAWAR	ಬೊರಾವರ್
BALIGH	ಬಲಿಗ್
PRITHVI PUTRA	ಪೃಥ್ವಿ ಪುತ್ರ
PONTIAC'S REBELLION	ಪಾಂಟಕ್ಸ್ ರಿಬೆಲಿಯನ್
CALAIS	ಕಾಲೇಸ್
AVISHKA GUNAWARDENE	ಅವಿಷ್ಕಾ ಗುಣವರ್ಧನೆ
DANA PANI	ದಾನಾ ಪಾನಿ
IQRAAR	ಇಕರಾರ್
MAWAHIB	ಮವಾಹಿಬ್
DOLAN	ಡೊಲನ್
SAAJAN KA GHAR	ಸಾಜನ್ ಕಾ ಘರ್
Raikoti	ರಾಯ್‌ಕೋಟಿ
ALAKA	ಅಲಕಾ
PHOOL AUR INSAAN	ಪೂಲ್ ಔರ್ ಇನ್ಸಾನ್
JACOBITE RISING IN SCOTLAND	ಜಾಕೊಬೈಟ್ ರೈಸಿಂಗ್ ಸ್ಕಾಟ್‌ಲ್ಯಾಂಡ್
KUNTI	ಕುಂತಿ
RICKY	ರಿಕಿ
Puls	ಪಲ್ಸ್
KUNTE	ಕುಂಟೆ
SAHEB BIWI AUR GULAM	ಸಾಹೆಬ್ ಬಿವಾ ಗುಲಾಮ್
SOLFERINO	ಸೋಲ್ಫೆರಿನೊ
TUNGESH	ತುಂಗೇಶ್
GULF OIL	ಗಲ್ಫ್ ಆಯಿಲ್
THE ORIYA SAMAJA	ದ ಒರಿಯಾ ಸಮಾಜ
MOTOR CYCLING	ಮೋಟಾರ್ ಸೈಕ್ಲಿಂಗ್
KUTAI	ಕುಟಾಯ್
PREM JAAL	ಪ್ರೇಮ್ ಜಾಲ್
ANDHI GALI	ಅಂಧಿ ಗಲೀ
AAKHRI CHETAWANI	ಆಖಿರ್ ಚೆತಾವನೀ
MUKUND	ಮುಕುಂದ್
CHRIS SMITH	ಕ್ರಿಸ್ ಸ್ಮಿತ್
GONDIA JUNCTION	ಗೊಂಡಿಯಾ ಜಂಕ್ಷನ್
GUNAH AUR KANOON	ಗುನಾಹ್ ಔರ್ ಕಾನೂನ್
GARIEP DAM	ಗೆರೀಪ್ ಡ್ಯಾಮ್
PALKON KI CHHAON MEIN	ಪಲಕೋ ಕಿ ಛಾವ್ ಮೇ
SAPNA	ಸಪನಾ
SAPNA	ಸಪ್ನಾ
Bajwa	ಬಾಜ್ವಾ
NAMUMKIN	ನಾಮುಮಕಿನ್
PUNAM	ಪೂನಂ
ASPASIA	ಆಸ್ಪೇಶಿಯಾ
MARLI	ಮರ್ಲಿ
AAKANKSHA	ಆಕಾಂಕ್ಷಾ
DANDIYA	ದಂಡಿಯಾ
Roti	ರೋಟಿ
SEA OF THE HEBRIDES	ಸೀ ಆಫ್ ಹೆಬ್ರಿಡೀಸ್
NOOR MAHAL	ನೂರ್ ಮಹಲ್
CHAHTA	ಚಾಹತಾ
ASHOK MANKAD	ಅಶೋಕ್ ಮಂಕಡ್
RUDRA PRATAP SINGH	ರುದ್ರ ಪ್ರತಾಪ್ ಸಿಂಗ್
NIRALA	ನಿರಾಲಾ
FLORIANE	ಫ್ಲೋರಿಯೇನ್
Skipper	ಸ್ಕಿಪರ್
DANE	ಡೇನ್
CHARL WILLOUGHBY	ಚಾರ್ಲ್ ವಿಲೋಬಿ
SRISTI	ಸೃಷ್ಟಿ
TOHANA	ಟೆಹಾಣಾ
JIMMY COOK	ಜಿಮ್ಮಿ ಕುಕ್
AACHARYSUT	ಆಚಾರ್ಯಸುತ
HILAL	ಹಿಲಾಲ್
GROUPE DANONE	ಗ್ರೂಪ್ ಡೆನಾನ್
NUWAN KULASEKARA	ನುವಾನ್ ಕುಲಶೇಖರ
SALAMAH	ಸಲಮಾ
SALAMAH	ಸಲಾಮಾ
Janine	ಜೆನಿನಿ
KADAMBINI	ಕದಂಬಿನಿ
EVERGREEN COMMUNITY	ಎವರ್‌ಗ್ರೀನ್ ಕಮ್ಯುನಿಟಿ
MUDRIKAA	ಮುದ್ರಿಕಾ
WOORKERI RAMAN	ವೂರ್ಕರಿ ರಮಣ್
AADMI	ಆದಮಿ
Purba	ಪುರಬಾ
FORT GAINES	ಫೋರ್ಟ್ ಗೈನ್ಸ್
PAANCH RATAN	ಪಾಂಚ್ ರತನ್
VIKLAV	ವಿಕ್ಲವ್
DHULE	ಧುಲೆ
KOTTAYAM	ಕೊಟ್ಟಾಯಂ
HAWTHORNDEN PRIZE	ಹಾವ್ಥೊಂಡೆನ್ ಪ್ರೈಜ್
PARIKSHIT	ಪರೀಕ್ಷಿತ್
GURNEET	ಗುರುನೀತ್
PIPE SMOKER OF THE YEAR	ಪೈಪ್ ಸ್ಮೋಕರ್ ಆಫ್ ದಿ ಇಯರ್
BABU	ಬಾಬು
LAKHIMPUR	ಲಖೀಂಪುರ್
VISHWAMBHAR UPADYAY	ವಿಶ್ವಂಭರ್ ಉಪಾಧ್ಯಾಯ್
DIBANG VALLEY	ದಿಬಾಂಗ್ ವ್ಯಾಲಿ
PATHARKAR	ಪಥಾರಕರ್
BUDHI	ಬುಧೀ
PHARMAXIS LIMITED	ಫಾರ್ಮಾಕ್ಸಿಸ್ ಲಿಮಿಟೆಡ್
LAKHESHVAR	ಲಖೇಶ್ವರ್
DIL AUR DEEWAR	ದಿಲ್ ಔರ್ ದೀವಾರ್
Diljala	ದಿಲ್‌ಜಲಾ
CHAVALKHEDE	ಚವಲಖೆಡೆ
JAISUKH	ಜೈಸುಖ್
SACRED HEART CATHOLIC	ಸೇಕ್ರೆಡ್ ಹಾರ್ಟ್ ಕೆಥೋಲಿಕ್
I^diyaa	ಇಂಡಿಯಾ
GANGA AUR SURAJ	ಗಂಗಾ ಔರ್ ಸೂರಜ್
GAVIN RENNIE	ಗೆವಿಂಗ್ ರೆನೀ
MANDIR MASJID	ಮಂದಿರ್ ಮಸ್ಜಿದ್
SWIFTSURE	ಸ್ವಿಫ್ಟ್‌ಶೂರ್
Abanur	ಅಬನೂರ್
Lankeshvar	ಲಂಕೇಶ್ವರ್
FORT MONCKTON	ಫೋರ್ಟ್ ಮಾಂಕ್ಟನ್
PRASHANTI	ಪ್ರಶಾಂತಿ
DEEVAAN	ದೀವಾನ್
CONNLEY	ಕಾನ್ಲೀ
BEIMAAN	ಬೆಯಿಮಾನ್
CHRISTIAN	ಕ್ರಿಶ್ಚಿಯನ್
DHILWAN	ಧಿಲ್ವಾನ್
Devlali	ದೇವಲಾಲೀ
KARAMDATA	ಕರಮದಾತಾ
TAMBORIM	ತಾಂಬೊರಿಮ್
Moore	ಮೂರೆ
MARDI	ಮಾರ್ಡಿ
BHURANYU	ಭೂರಣ್ಯು
GYPSY	ಜಿಪ್ಸೀ
THATTHA	ಠಠ್ಠಾ
CENTRAL EUROPEAN MEDIA ENTERPRISES	ಸೆಂಟ್ರಲ್ ಯುರೋಪಿಯನ್ ಮೀಡಿಯಾ ಎಂಟರ್ ಪ್ರೈಸ್
BAAP NUMBARI BETA DUS NUMBARI	ಬಾಪ್ ನಂಬರೀ ಬೆಟಾ ದಸ್ ನಂಬರೀ
TAHA	ತಾಹಾ
BAALCHANDRA	ಬಾಲಚಂದ್ರ
VINATI	ವಿನತಿ
Ratul	ರಾತುಲ್
Taaraapati	ತಾರಾಪತಿ
Vita	ವಿಟಾ
MAHA	ಮಹಾ
BHAGAT	ಭಗತ್
ABHAY	ಅಭಯ್
BAHA	ಬಹಾ
ELMO	ಎಲ್ಮೋ
Bishengarh	ಬಿಸೆನ್‌ಗಢ್
YAASMEEN	ಯಾಸ್ಮೀನ್
RASNA	ರಸನಾ
RASNA	ರಸ್ನಾ
JOSIE	ಜೋಸಿ
SHIKAYAT	ಶಿಕಾಯತ್
SAINT STEPHEN'S SCHOOL, CHANDIGARH	ಸೆಂಟ್ ಸ್ಟೀಫನ್ಸ್ ಸ್ಕೂಲ್, ಚಂಡೀಗಢ್
JAJI	ಜಜೀ
RASHEED	ರಶೀದ್
CHAITAN	ಚೈತನ್
PEMEX	ಪೆಮೆಕ್ಸ್
LU'LU	ಲುಲು
ARIANA	ಏರಿಯಾನಾ
ANUPAMAA	ಅನುಪಮಾ
GOLDEN GATE	ಗೋಲ್ಡನ್ ಗೇಟ್
SHAKE HANDS	ಶೇಕ್ ಹ್ಯಾಂಡ್ಸ್
SURANJANA	ಸುರಂಜನ
SAUTELA BHAI	ಸೌತೆಲಾ ಭೈ
Messinia	ಮೆಸಿನಿಯಾ
LILAC	ಲಿಲಾಕ್
RIWA FORT	ರಿವಾ ಫೋರ್ಟ್
ELIOT	ಈಲಿಯಟ್
HELGOLAND	ಹೆಲ್ಗೋಲ್ಯಾಂಡ್
DASGUPTA	ದಾಸಗುಪ್ತಾ
MOHANA	ಮೋಹನಾ
BHATAPARA	ಭತಪಾರಾ
Sylvester	ಸಿಲ್ವೆಸ್ಟರ್
HURAYTH	ಹುರೇತ್
FORT STARK	ಫೋರ್ಟ್ ಸ್ಟಾರ್ಕ್
CHILEAN	ಚಿಲಿಯನ್
SHRIGAURI	ಶ್ರೀಗೌರಿ
KINGSTON	ಕಿಂಗ್‌ಸ್ಟನ್
WHITFIELD	ವೈಟ್‌ಫೀಲ್ಟ್
IAN BLACKWELL	ಇಯಾನ್ ಬ್ಲಾಕ್‌ವೆಲ್
AMALTAAS	ಅಮಲ್ತಾಸ್
BADE GHAR KI BAHU	ಬಡೇ ಘರ್ ಕಿ ಬಹು
DHARM PATNI	ಧರ್ಮ್ ಪತ್ನಿ
SEYMOUR	ಸೀಮೋರ್
SOHAIL FAZAL	ಸೊಹೇಲ್ ಫಜಲ್
ATTUNITY	ಆಟ್ಯುನಿಟಿ
GOKUL	ಗೋಕುಲ್
CHHUPA RUSTAM	ಛುಪಾ ರುಸ್ತಮ್
PYASE PANCHHI	ಪ್ಯಾಸಿ ಪಂಛೀ
AARYAAVART	ಆರ್ಯಾವಾರ್ತ
AACHAARYNANDANA	ಆಚಾರ್ಯನಂದನಾ
CHETAN CHAUHAN	ಚೇತನ್ ಚೌಹಾನ್
JHABUA	ಜಬುವಾ
BANGALORE CANTONMENT	ಬೆಂಗಳೂರು ಕಂಟೋನ್ಮೆಂಟ್
SALENE	ಸೆಲೀನ್
BETAVAD	ಬೆತಾವಡ್
ATAL	ಅಟಲ್
MUBARAK	ಮುಬಾರಕ್
LALANA	ಲಲನಾ
ALBELA	ಅಲ್ಬೇಲಾ
TREVOR LAUGHLIN	ಟ್ರೆವರ್ ಲಾಫಿನ್
BHUVANESH	ಭುವನೇಶ್
AFROZE	ಅಫ್ರೋಜ್
HIND OIL EXPLOR	ಹಿಂದ್ ಆಯಿಲ್ ಎಕ್ಸ್‌ಪ್ಲೋರ್
DAVIS CUP	ಡೇವೀಸ್ ಕಪ್
CHAUGHULE	ಚೌಘುಲೆ
Nirmaan	ನಿರ್ಮಾಣ್
BOLIVIANO	ಬೊಲಿವಿಯಾನೊ
VAALBOS	ವಾಲ್‌ಬೋಸ್
ABDUL JABBAR	ಅಬ್ದುಲ್ ಜಬ್ಬಾರ್
SHARK	ಶಾರ್ಕ್
KEMP	ಕೆಂಪ್
HOLIKAA	ಹೋಲಿಕಾ
JAGARAU	ಜಗರಾವ್
LIVERPOOL JOHN MOORES UNIVERSITY	ಲಿವರ್‌ಪೂಲ್ ಜಾನ್ ಮೂರ್ಸ್ ಯುನಿವರ್ಸಿಟಿ
THE SATYAM TIMES	ದ ಸತ್ಯಮ್ ಟೈಮ್ಸ್
YUVRAJ SINGH	ಯುವರಾಜ್ ಸಿಂಗ್
AUGUSTUS	ಆಗಸ್ಟಸ್
CHRIS HARRIS	ಕ್ರಿಸ್ ಹ್ಯಾರಿಸ್
VARNA	ವರ್ಣ
CHRIS LEWIS	ಕ್ರಿಸ್ ಲೆವಿಸ್
CERELIA	ಸೆರೆಲಿಯಾ
ABDUL MUTI	ಅಬ್ದುಲ್ ಮುತಿ
BHOGPUR SIRWAL	ಭೋಗಪುರ್ ಸಿರವಾಲ್
BANSI PAHARPUR	ಬನ್ಸಿ ಪಹಾರ್‌ಪುರ್
ADAWI	ಅದಾವಿ
RAVINANDAN	ರವಿನಂದನ್
HAISIYAT	ಹೈಸಿಯತ್
REEKHABACHANDR	ರೀಖಾಬಚಂದ್ರ
XENON	ಜೆನನ್
XENON	ಝೆನನ್
ERESPRIS	ಇರೆಸ್ಪೀಸ್
SHEHAR AUR SAPNA	ಶೆಶಾರ್ ಔರ್ ಸಪನಾ
ZELIG	ಜೆಲಿಗ್
AZAD	ಆಜಾದ್
JAI JAGANNATH	ಜೈ ಜಗನ್ನಾಥ್
NARDO	ನರ್ದೊ
GEETANJALI	ಗೀತಾಂಜಲಿ
XENOS	ಜೆನೋಸ್
JALENE	ಜಲೆನಿ
Avanish	ಅವನೀಶ್
BAGBAHRA	ಬಾಗ್‌ಬಹ್ರಾ
KESHARWAL	ಕೇಶರವಾಲ್
SHAKUNT	ಶಕುಂತ್
TIM ALLAN	ಟಿಮ್ ಅಲನ್
VISHALAKSHI	ವಿಶಾಲಾಕ್ಷಿ
SURYAA	ಸೂರ್ಯಾ
CALHOUN	ಕಾಲ್ಹೌನ್
PUKASKWA	ಪುಕಾಸ್ಕ್ವಾ
CHAKIA	ಚಕಿಯಾ
Viapeeth	ವಿಯಾಪೀಠ್
SAVAGE	ಸಾವೇಜ್
GUSTAV	ಗುಸ್ತಾವ್
SIPAHI KI SAJNI	ಸಿಪಾಹಿ ಕೀ ಸಜನೀ
AKSHAY	ಅಕ್ಷಯ್
BEACH VOLLEYBALL	ಬೀಚ್ ವಾಲಿಬಾಲ್
UNION PIPE	ಯೂನಿಯನ್ ಪೈಪ್
Step	ಸ್ಟೆಪ್
BADSHAHPUR	ಬಾದಶಾಪುರ್
THERMOPYLAE	ಥರ್ಮೊಫೀಲಿಯಾ
Dhanoa	ಧನೋಯಾ
PARAMESH	ಪರಮೇಶ
COLETTE	ಕೊಲೆಟ್
FATTANWALA	ಫತ್ತಣವಾಲಾ
ANOU TIMEDOUINE	ಅನೌ ಟೈಮ್ಡೂಯಿನ್
MAA KA ANCHAL	ಮಾ ಕಾ ಆಂಚಲ್
DAPENG INTERNATIONAL PLAZA	ದಾಪೆಂಗ್ ಇಂಟರ್‌ನ್ಯಾಷನಲ್ ಪ್ಲಾಜಾ
IAN SALISBURY	ಇಯಾನ್ ಸಾಲಿಸ್ ಬರಿ
HEROINE	ಹೀರೋಯಿನ್
NIYATI	ನಿಯತಿ
UNIVERSITY OF CANTERBURY	ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಕ್ಯಾಂಟರ್‌ಬರಿ
