NADHIR	நாதிர்
CHAR DARVESH	சார் தர்வேஷ்
BAIYOKE	பயோக்
TREVOR LAUGHLIN	டிரெவர் லாஃப்லின்
BHUVANESH	புவனேஷ்
HIND OIL EXPLOR	ஹிந்த் ஆயில் எக்ஸ்ப்ளோர்
XAVIERE	ஜாவைர்
BOLIVIANO	போலிவியானோ
EL-AWRA	எல்-ஆவ்ரா
SHARK	ஷார்க்
BWINDI	பிவிண்டி
HOLIKAA	ஹோலிகா
LIVERPOOL JOHN MOORES UNIVERSITY	லிவர்பூல் ஜான் மூர்ஸ் யூனிவர்சிட்டி
Hashmat	ஹஷ்மத்
CAHORA BASSA DAM	கஹோரா பஸ்ஸா டேம்
AUGUSTUS	அகஸ்டஸ்
Manfoosah	மன்ஃபூசா
ANOKHI MOHABBAT	அன்கி மொஹபத்
DHARNAODA	தர்னோடா
PEWAR	பேவார்
SENAPATI	சேனாபட்டி
SENAPATI	சேனாபதி
CERELIA	செரிலியா
SHYAAMAL	ஷியாமல்
GEORGIANNE	ஜார்ஜேன்
NILAY	நிலய்
SWAIN	ஸ்வைன்
BANSI PAHARPUR	பன்ஸி பஹர்பூர்
INTERACTIVE	இன்டராக்டிவ்
ADAWI	அடாவி
CICADA	சிகதா
RAVINANDAN	ரவிநந்தன்
PRAGYA	ப்ரக்யா
TIMOTHY	டிமோதி
ROB	ராப்
KLANG GATES	க்லங் கேட்ஸ்
GOLDIE	கோல்டீ
GUS	கஸ்
SHEHAR AUR SAPNA	ஷீஹார் அவுர் சப்னா
ZELIG	ஜெலிக்
BALVEER	பல்வீர்
SHREEKRASHN	ஸ்ரீகிரஷண்
TYMON	டைமன்
GUJ NRE COKE	குஜ் என்ஆர்இ கோக்
BALACHANDRA	பாலசந்திரா
JALENE	ஜேலீன்
ABDUL NAFI	அப்துல் நாஃபி
KODGU	கோட்கு
VIRDI	விர்தி
PARWANA	பர்வானா
OSMIUM	ஓஸ்மியம்
Somalakshmi	சோமலக்ஷ்மி
KARSEN	கார்ஸன்
NAOTAU	நௌதாவு
FDEDERATED DEPT STOR	பெட்டரேட்டட் டெப்ட் ஸ்டோர்
SOLOMOS MUSEUM	ஸோலாமோஸ் மியூஸியம்
OPEN TEXT CORPORATION	ஓபென் டெக்ஸ்ட் கார்ப்பரேஷன்
ASTRA	அஸ்த்ரா
Garmin	கேர்மின்
MARY ANTOINETTE	மேரி ஆண்டோய்னெட்டி
VASUDEVYAA	வாசுதேவ்யா
ELFAT	எல்ஃபாத்
SHENANDOAH	ஷெனான்டோஹ்
ASTRO	அஸ்டிரோ
MERA WATAN	மேரா வதன்
NAYA RASTA	நயா ராஸ்தா
PARAMESH	பரமேஷ்
SHRIVALLI	ஸ்ரீவள்ளி
DANKA	டன்கா
SERENO	செரினோ
DOOR KI AWAAZ	தூர் கி ஆவாஸ்
DURGAPURA	துர்காபூரா
ISA	இசா
MAA KA ANCHAL	மா கா அன்சல்
MARDANGI	மார்தாங்கி
BERCHTESGADEN	பெர்ச்டெஸ்கார்டன்
HEAVY	ஹெவி
BHILAVDI	பிலாவ்டி
NIYATI	நியதி
UNIVERSITY OF CANTERBURY	யூனிவர்சிட்டி ஆஃப் கேன்டர்பரி
ATI VISISHT SEVA MEDAL	ஆதி விசிஷ்ட் சேவா மெடல்
JAI AMBE MAA	ஜெய் ஆம்பே மா
TALWARKAR	தல்வார்கர்
EK NAAV KINARE DO	ஏக் நாவ் கினாரே தோ
NIHANG	நிஹாங்
CHINTAMANI SURDAAS	சிந்தாமணி சுர்தாஸ்
JANHAVI	ஜானவி
KANWALKISHORE	கான்வல்கிஷோர்
DASHAVTAR	தஷாவ்தார்
HUD	ஹுத்
AGGIE	அக்கி
ACHYUT	அச்சியுத்
AUD	ஔத்
THE BRITISH MUSEUM	த பிரிட்டிஷ் கேலரி
ALAKNANDA	அலக்நந்தா
ALAKNANDA	அலக்னன்தா
Chhitauni	சிட்டௌனி
EDGER ALLAN POE	எட்கர் ஆலன் போப்
SUPER BOWL	சூப்பர் பௌல்
PRAVEER	பிரவீர்
PINK MODEL SCHOOL, BIKANER	பிங்க் மாடல் ஸ்கூல், பிகானெர்
AABISH	ஆபிஷ்
MASSENHOVEN	மாஸ்ஸென்ஹோவென்
RANGILA RAJASTHAN	ரங்கிலா ராஜஸ்தான்
DANGA FASAD	டங்கா ஃபசாத்
SOMAKAANT	சோமகாந்த்
BANK OF CHINA	பேங்க் ஆப் சைனா
Cathy	காத்தீ
GUJ STATE PETRO	குஜ் ஸ்டேட் பெட்ரோ
BUNDI FORT	புன்டி ஃப்போர்ட்
CICILY	சிஸ்ஸி
JAINARAYAN	ஜெய்நாராயண்
SHINTRE	ஷின்த்ரே
Azhar	அஸ்ஹர்
UTTARA	உத்தாரா
DHARTI KE LAL	தர்தி கே லால்
TULSA	டக்ஸ்ன்
ORDER OF THE PRECIOUS CROWN	ஆர்டர் ஆஃப் தி ப்ரெஷியஸ் க்ரவுன்
DAGABAAZ	தாகாபாஸ்
GARAM MASALA	கரம் மசாலா
JAYALAKSHMI	ஜெயலக்ஷ்மி
JAYALAKSHMI	ஜெயலக்‌ஷ்மி
KHALAF	காலாஃப்
KAKA	காகா
CZECHOSLOVAKIA	செக்கோஸ்லேவேக்கியா
HORESHOES	ஹார்ஷூஸ்
SHASUN CHEMICAL	ஷாசன் கெமிக்கல்
VEGAVAAHEE	வேகவஹீ
HUM DIWANE	ஹம் திவானே
AMARAP	அமர்ராப்
FORT REVELIN	ஃப்போர்ட் ரெவேலின்
RAAT KE ANDHERE MEIN	ராத் கே அன்தேரே மேன்
PILIBHIT	பிலிப்ஹ்த்
SALAABATPURA	சாலபத்புரா
ROBERT FULGHUM	ராபர்ட் ஃபல்கம்
GENEVIEVE	ஜெனீவீ
IDD MUBARAK	ஈத் முபாரக்
IRANIAN	இரானியன்
SAYMUKTA KARNATAKA	சய்முக்தா கர்னாட்டக்கா
ANTOINETTE	ஆன்டனியோட்
RANADURGAA	ரனதுர்கா
TAYBAH	தைபா
I^DU MANI	இந்துமணி
PHILIPPINES	பிலிப்பைன்ஸ்
HURRAH	ஹுர்ரா
Raymond	ரேமண்ட்
GILLETTE INDIA	ஜில்லெட் இந்தியா
Randheer	ரந்தீர்
MADHOSH	மாதோஷ்
ORDER OF DIPLOMATIC MERIT	ஆர்டர் ஆஃப் டிப்ளொமேடிக் மெரிட்
KHATKADKALA	காட்காட்கலா
CALDECOTT	கால்டேகாட்
SAMEERA	சமீரா
ROUND DANCE	ரவுண்ட் டான்ஸ்
LIBERTE	லிபெர்டெ
VIDRUMALATAA	வித்ருமலதா
IFFLIS	இப்பிலிஸ்
MAIK	மைக்
URUGUAY	உருகுவே
DAVID GOWER	டேவிட் கோவெர்
VRINDA	விருந்தா
GODFREY	காட்ஃப்ரீ
GURJARI	குர்ஜாரி
RAYBAN SUN	ரேபேன் சன்
SUMEDHA	சுமேதா
NORWICH UNIVERSITY MUSEUM	நார்விச் யூனிவர்சிட்டி மியூஸியம்
ARCH CAPITAL GROUP	ஆர்ச் காப்பிட்டல் குரூப்
YOMIURI PRIZE FOR LITERATURE	யோமியுரி ப்ரைஸ் ஃபார் லிட்ரேச்சர்
ZUHAYR	ஜுஹேர்
HAMBADA	ஹம்பாதா
Devasree	தேவஸ்ரீ
PRIX FEMINA	ப்ரிக்ஸ் ஃபெமினா
MOUNT EDGCUMBE GARDEN BATTERY	மவுண்ட் எட்ஜ்கம்பே கார்டன் பேட்டரி
TUM LAUT AAO	தும் லோத் ஆஓ
THUNDERCHILD	தண்டர்சைல்ட்
GEORGE CARLIN	ஜார்ஜ் கார்லின்
JAISUKH	ஜெய்சுக்
BALKRISHNA IND	பாலகிருஷ்ணா இண்ட்
Shuchismita	ஷுஷிஸ்மிதா
Malvina	மால்வினா
ERIMENTHA	எரிமெந்தா
RAM AUR SHYAM	ராம் அவுர் ஷியாம்
BANDULA WARNAPURA	பந்துலா வர்ணபூரா
HIBAH	ஹிபா
Tatkar	தாத்கர்
RAKH AUR CHINGARI	ராக் அவுர் சிங்காரி
ELDORADO	எல்டோராடோ
MARTANDA	மார்டாண்டா
MEGHANA	மேகனா
JIMMY COOK	ஜிம்மி குக்
SONGADRA	சோங்காத்ரா
SHINJINI	ஷிஞ்சினி
MAHAAVAT	மஹாவத்
NAVIOS MARITIME HOLDINGS	நேவியோஸ் மாரிடைம் ஹோல்டிங்க்ஸ்
MANGU DADA	மங்கு தாதா
CARSON	கார்ஸன்
PRIX RENAUDOT	ப்ரிக்ஸ் ரெனாடட்
SRAPANCH	ஸ்ரபஞ்ச்
ARGHESHWARA	அர்கேஷ்வரா
Arbon	ஆர்போன்
AACHAARYSUTAA	ஆசார்யாசுதா
SIBELIUS PRIZE	சிபெலியஸ் ப்ரைஸ்
KATHAK	கதக்
ANDAR BAHAR	அந்தர் பாஹர்
DAMAN AND DEEV	தாமன் தியோ
BHUSAVAL JUNCTION	புசாவல் ஜங்ஷன்
PROTIK	ப்ரோகித்
CARSYN	கார்ஸின்
GOKUL	கோகுல்
SARNATH	சார்நாத்
ANANTRAM	அனன்த்ராம்
GURUDWARA GURSAGAR PRAKASH	குருத்வாரா குர்சாகர் ப்ரகாஷ்
AZAMAT	அஸாமத்
MARTYN BALL	மார்டின் பால்
FITNESS	ஃபிட்னஸ்
SAMBANDH	சம்பந்த்
KIRANMAY	கிரண்மை
HANIBELL	ஹணிபெல்
WAJAHAT	வஜஹத்
Iyaas	ஐயாஸ்
CHENG	செங்
Suhaas	சுஹாஸ்
SEYYED HOSSEIN NASR	செய்யத் ஹோசெய்ன் நாஸ்ர்
SANYAKTA	சன்யக்தா
MASOOD IQBAL	ஃபைசால் இக்பால்
LACHAK	லாசக்
OSAKA WORLD TRADE CENTER	ஒசாகா வேர்ல்ட் டிரேட் சென்டர்
DAPHNE	டாஃப்னே
DHOLKA	தோல்கா
SUMMAYYAH	சுமய்யா
SHABARI	ஷபரி
RAHILA	ரஹிலா
KOPRAN	கோப்ரான்
LARRY GOMES	லேரி கோம்ஸ்
HAASHIM	ஹாஷிம்
WILLIE WATSON	வில்லி வாட்சன்
LYSANDRA	லிசாண்ட்ரா
AKANAPET	அகனபேட்
BADE	படே
SAMASYA	சம்ஸ்யா
IRAN KI EK RAAT	இரான் கி ஏக் ராத்
BIJROTHA	பிஜ்ரோத்தா
Jivana	ஜீவனா
AKELA	அகேலா
CHITTOOR	சித்தூர்
PARAMARTH	பரமார்த்
MOUNT REVELSTOKE	மவுண்ட் ரெவல்ஸ்டோக்
BASERE KI HOOR	பசேரே கி ஹூர்
SHEETALAA	ஷீடலா
AYYAR	அய்யர்
MOUNT CARMEL SCHOOL	மவுண்ட் கார்மெல் ஸ்கூல்
Saathe	சாத்தே
ANOKHA PYAR	அனோகா பியார்
KESAVA	கேசவ
KAVISHWAR	கவிஷ்வார்
RHON	ரோன்
SOMKANT	சோம்கந்த்
MADANGOPAL	மதன்கோபால்
Julie	ஜூலி
NANDED	நான்டெட்
NANDED	நான்தெத்
TAI TAM RESERVOIRS	தய் தம் ரிசர்வாயர்ஸ்
Gahiree	காஹிரீ
JEET HAMARI	ஜீத் ஹமாரி
MERCHANT	மெர்சண்ட்
NAVARE	நவாரே
FRANCOIS	ஃப்ரான்காய்ஸ்
FORT CARTWRIGHT	ஃப்போர்ட் கார்ட்வெயிட்
PRASAD	பிரசாத்
BHOJO	போஜோ
SUGITA	சுகிதா
DEMITRIUS	டெமிட்ரியஸ்
YAOUNDE	யாவுன்டே
INDRANI	இந்திரானி
BANDHU	பந்து
TEJAL	தேஜல்
PRESIDIO OF SANTA BARBARA	பிரெஸிடியோ ஆப் சன்டா பார்பரா
LUTON	லூட்டன்
ANAKAPALLE	அனாகபல்லே
SHASHIPRABH	ஷஷிபிரபா
Jerrell	ஜெரெல்
NIPPON MINING HOLDINGS	நிப்பான் மைனிங் ஹோல்டிங்ஸ்
BALRAM SHRIKRISHNA	பல்ராம் ஸ்ரீகிருஷ்ணா
GODHRA JUNCTION	கோத்ரா ஜங்ஷன்
FORT PAULL	ஃப்போர்ட் பால்
SLONE	ஸ்லோன்
AYYOOB	அய்யூப்
ARIADNAH	அரியட்னா
NARASIMHA	நரசிம்மா
RAMANEEK	ரமனீக்
RAIDAH	ரய்தா
LONDON METROPOLITAN UNIVERSITY	லண்டன் மெட்ரோபாலிட்டன் யூனிவர்சிட்டி
BRENDON BRACEWELL	பிரெண்டன் பிரேஸ்வெல்
Kafila	கஃபிலா
NAARAAYANANAATH	நாராயணநாத்
KIRANA	கிரானா
Kohima	கோஹிமா
Pushpa	புஷ்பா
KANOON AUR MUJRIM	கானூன் ஔர் முஜ்ரிம்
MASSENA	மாஸ்ஸெனா
IRVING	இர்விங்
CHARS	சார்ஸ்
GUNTAKAL JUNCTION	குண்டக்கல் ஜங்ஷன்
CIRA	சிரா
BOOMPS-A-DAISY	பூம்ப்ஸ்-ஆ-டெய்ஸி
TAMATHA	டமாதா
ODIN	ஓடின்
VIPRA	விப்ரா
MALTA	மால்டா
MALTA	மால்ட்டா
ADHIKAR	அதிகார்
RAVIKIRAN	ரவிகிரண்
AVIVA	அவிவா
NASEER	நாஸீர்
NATIONAL MUSEUM OF CONTEMPORARY ART	நேஷனல் மியூஸியம் ஆஃப் கான்டெம்போரரி ஆர்ட்
PANDIT AUR PATHAN	பண்டிட் அவுர் பதான்
GHAARE	காரே
ADHIWAR	அதிவார்
EAGLE	ஈகிள்
LIVETT	லிவெட்
SEVEN SEAS	செவன் சீஸ்
WORLD JUNIOR CHESS CHAMPIONS	வோர்ல்ட் ஜூனியர் செஸ் சாம்பியன்ஸ்
HUNTSVILLE CHRISTIAN	ஹண்ட்ஸ்வில்லே கிறிஸ்டியன்
BUQAYRAH	புகாய்ரா
MALDIVES	மால்டீவ்ஸ்
VAKIL BABU	வாகில் பாபு
HAMARI KISMAT	ஹமாரி கிஸ்மத்
LAHU KE DO RANG	லாஹூ கே டோ ராங்
XANDY	ஜேண்டி
TURLEY	டர்லே
BAAP BETI	பாப் பெடி
Nobelium	நோபெலியம்
UROOJ	உரூஜ்
Hemaraj	ஹேமராஜ்
MATHILDE	மத்தில்டே
KREBS BIOCHEM	க்ரெப்ஸ் பயோகெம்
BHARTI AIR	பாரதி ஏர்
KAHIN AAR KAHIN PAAR	கஹின் ஆர் கஹின் பார்
AGRICULTURAL BANK OF CHINA	அக்ரிக்கல்சூரல் பேங்க் ஆப் சைனா
MURARI	முராரி
Michael	மைக்கேல்
MANTRANA	மந்த்ரானா
GAJ	காஜ்
BAALAMANI	பாலமணி
CHIKNI	சிக்னி
UTTARANCHAL	உத்தராஞ்சல்
DURGA MATA	துர்கா மாதா
SRIVILLIPUTTUR	ஸ்ரீவில்லிபுத்தூர்
SHRAVANA	ஷரவனா
Ranger	ரேஞ்சர்
VAAGHMARE	வாக்மாரே
GRAHAN	கிரஹன்
DHANA KHERLI	தனா கேர்லி
AKAMAAL	அகமால்
SHIVAKUMAAR	ஷிவகுமார்
Mahagit	மஹாகித்
BARADARI	பாரதாரி
SODIUM	சோடியம்
GURUDWARA BIBEKSAR	குருத்வாரா பிபேக்சர்
VIDEOCON	வீடியோகான்
ZULM KA BADLA	ஸுல்ம் கா பாத்லா
LUCY	லுசி
POLICE STATION	போலிஸ் ஸ்டேஷன்
Attawal	அட்டாவால்
GOOD SHEPHERD LUTHERAN	குட் ஷெப்பர்ட் லுதெரன்
Anika	அனிக்கா
CHAR MINAR	சார் மினார்
PYASI NADI	பியாஸி நதி
BINDIYA AUR BANDOOK	பிந்தியா ஔர் பேண்டூக்
ARAVINDA DE SILVA	அரவிந்த டி சில்வா
JECY JACKSON	ஜெசி ஜாக்சன்
NIPUN	நிபுண்
BAHADUR KISAN	பஹதுர் கிசான்
SHRIRAM TRANSFI	ஸ்ரீராம் ட்ரான்ஸ்ஃபி
UNIVERSITY OF DUNDEE	யூனிவர்சிட்டி ஆஃப் டுண்டீ
Cricket	கிரிக்கெட்
VIENNA	வியந்நா
VIENNA	வியன்னா
KIMBER	கிம்பர்
SEEMA	சீமா
BACHWARA	பச்வாரா
DEEPTIMOY	தீப்திமாய்
LELE	லேலே
DREAM GIRL	டிரீம் கேர்ள்
ENRICO	என்ரிக்கோ
BASEER	பாசீர்
IMPHAL	இம்பால்
KISSA KURSI KA	கிஸ்ஸா குர்ஸி கா
THIRUKKULUNKUNRAM	திருக்கழுகுன்றம்
GERTRUDE	கெர்ட்ரூட்
MUSLIM	முஸ்லிம்
SUHAYR	சுஹயிர்
HIS CHURCH WORLD OUTREACH CENTER	ஹிஸ் சர்ச் வேர்ல்ட் அவுட்ரீச் சென்டர்
Devesh	தேவேஷ்
SAINI	சைனி
TERI KASAM	தேரி கஸம்
INTERNATIONAL PAPER	இன்டர்நெஷனல் பேப்பர்
DILSHAD	தில்ஷத்
NADEEM GHAURI	நதீம் கோரி
RAM AVTAR	ராம் அவ்தார்
ORDER OF THE CHRYSANTHEMUM	ஆர்டர் ஆஃப் தி க்றிசாந்திமம்
CRUCELL	குரூசெல்
SIRMAUR	சிர்மவூர்
FAUVE	ஃபாவே
MANAGER	மானேஜர்
MUSHTAQ AHMED	முஷ்டாக் அகமத்
WINSTON BENJAMIN	வின்ஸ்டன் பெஞ்சமின்
LANGLEY	லாங்லே
UNIVERSITY OF TEXAS	யூனிவர்சிட்டி ஆஃப் டெக்சாஸ்
GUNARATNE	குணரத்னே
AWARA BAAP	ஆவாரா பாப்
CHERIYANAD	செரியனாட்
Adit	அதித்
SHOESMITH	ஹூஸ்மித்
Virupaksha	விருபக்ஷ
TITUS	டைடஸ்
TONGO	டோங்கா
CHARITRA	சரித்ரா
EVERTON MATTIS	எவர்டன் மாட்டிஸ்
TIPTREE AWARD	டிப்ட்ரீ அவார்ட்
AUGUSTIN	அகஸ்டின்
DEVAJYOTI	தேவஜோதி
MAGOFFIN	மாகோஃப்பின்
DAAMLE	தாம்லே
KAMYAB	கம்யாப்
LEEDS BRADFORD	லீட்ஸ் பிராட்போர்ட்
FORT NELSON	ஃப்போர்ட் நெல்ஸன்
PIRATENPRISET	பிரான்டென்ப்ரீஸ்ட்
QUINTIN	குன்டின்
MATTHEW WALKER	மாத்யூ வாக்கர்
BIDANPUR	பிடான்பூர்
ERIE	ஈரி
TERYL	டேரில்
MRAGANAYANEE	ம்ரகன்யானி
KHUZAMAH	குஸ்ஸாமா
Riyaaj	ரியாஜ்
ATTABIRA	அட்டாபிரா
EVELIA	ஈவ்லியா
Suparna	சுபர்னா
RANDY	ராண்டி
GOVINDARAJA PERUMAL	கோவிந்தராஜ பெருமாள்
Shagufta	ஷகுஃப்தா
Maasoom	மாசூம்
YAWATMAL	யாவாட்மல்
Simak	சிமக்
STEINER LEISURE LIMITED	ஸ்டேன்ன்ர் லீஷர் லிமிடெட்
DAREN POWELL	டேரன் பாவெல்
WADHWA	வாத்வா
GLYNN	கிலின்
GLYNN	கிளின்
MADURA GARMENTS	மதுரா கர்மெண்ட்ஸ்
LARRY	லாரி
ALEGRIAS	அலெகிரியஸ்
GORESUAR	கோரேசௌர்
DUNCAN	டன்கன்
MALAI MALAR	மாலை மலர்
LEVANA	லெவனா
LAGRANGE	லாகிரான்ஜெ
Muddal	முத்தல்
REWA	ரீவா
LAKE DISTRICT	லேக் டிஸ்ட்ரிக்ட்
BIRMITRAPUR	பிர்மித்ராபூர்
ABID	அபித்
VEERANA	வீரானா
Honeymoon	ஹன்மூன்
BRAYLA CHAURASI	ப்ராய்லா சௌராஸி
SIVNI	சிவ்னி
SHAHJAHANPUR	ஷாஜாஹான்பூர்
EVANIA	இவானியா
Raamateke	ராமதேகே
Shaayad	ஷாயாத்
BHEEMPURA	பீம்பூரா
NEVILLE	நெவில்லே
BANDHAN	பந்தன்
SHANE WATSON	ஷேன் வாட்சன்
BURHANPUR	புர்ஹன்பூர்
WAR OF THE HOLY LEAGUE	வார் ஆப் த ஹோலி லீக்
JANINE	ஜனைன்
MURRAY PARKER	முர்ரே பார்க்கர்
GHUMMAN	கும்மன்
HOOD	ஹூட்
JATAA SHANKAREE	ஜடா ஷங்கரி
SKINNER	ஸ்கின்னர்
SAN JUAN	சான் ஜுவான்
VISHRUT	விஷ்ருத்
ADHEERA	அதீரா
MALCOLM	மால்கம்
SHIKAST	ஷிகாஸ்த்
FORT LANGLEY	ஃப்போர்ட் லாங்லே
FIDELLA	ஃபிடெல்லா
HULCHAL	ஹுல்சல்
NISHANE BAAZI	நிஷானெ பாஸி
JET AIRWAYS	ஜெட் ஏர்வேஸ்
NICOLE BROWN SIMPSON	நிகோல் பிரவுன் சிம்சன்
RAJAN	ரஜன்
LUTERA AUR JADUGAR	லுடேரா அவுர் ஜாதுகர்
MIRARI	மிராரி
Malhar	மால்ஹார்
ISI KA NAAM DUNIYA HAI	இசி கா நாம் துனியா ஹை
CLARICE	கிளாரிஸ்
LINDA EVANS	லிண்டா எவான்ஸ்
Aram	அரம்
SARAI KE BAHAR	சாரை கே பாஹர்
GREG LAMB	க்ரெக் லேம்ப்
ANANDMAYEE	ஆனந்தமாயீ
ANNIGERI	அன்னிகேரி
Shams	ஷம்ஸ்
GOGIA	கோகியா
INDIAN INTERNATIONAL SCHOOL	இந்தியன் இன்டர்நேஷனல் ஸ்கூல்
EVERETT	எவரெட்
VASHISHTH	வஷிஷ்த்
Padmalochana	பத்மலோசனா
MAINE	மேய்ன்
MAURILIO	மௌரிலியோ
MAINA	மைனா
RAAJESH	ராஜேஷ்
FORT ZACHARY TAYLOR	ஃப்போர்ட் ஸாகாரி டெய்லர்
YUMNA	யும்னா
AHALYAPUR	அஹல்யபூர்
AHALYAPUR	அஹல்யாபூர்
PHILANA	ஃபிலானா
BRECON BEACONS	ப்ரேக்கன் பீக்கன்ஸ்
KAMALA	கமலா
KAMLA	கம்லா
SAFWAN	சஃப்வன்
Banmanush	பன்மனுஷ்
BANYAN	பேன்யன்
LICIA	லிசியா
EK THA LADKA	ஏக் தா லட்கா
MATEENAH	மாடீனா
LAKDE	லக்தே
TRINCULO	டிரின்குலோ
POLICE WALI	போலிஸ் வாலி
KEVIN DUERS	கெவின் டுயர்ஸ்
ABDUL WAAJID	அப்துல் வாஜித்
DHEEMANT	தீமந்த்
LISA MARIE PRESLEY JACKSON	லிசா மேரி ப்ரிஸ்லி ஜாக்சன்
MAHALAXMI	மகாலக்ஷ்மி
MAHALAXMI	மகாலக்‌ஷ்மி
MAHALAXMI	மஹாலக்ஷ்மி
MAHALAXMI	மஹாலக்‌ஷ்மி
JADHAV	ஜாதவ்
MUTSU	முட்ஸு
Abhaynanda	அபயனந்தா
PORT ELIZABETH	போர்ட் எலிசபத்
EKANGARSARAI	எக்காங்கர்சராய்
SADHNA	சாத்னா
SAAT SAWAL	சாத் சவால்
ALBERT EINSTEIN	ஆல்பர்ட் ஐன்ஸ்டின்
BEHTAGOKUL	பேட்டாகோகுல்
SAHOLI	சஹோலி
THUNDERER	தன்டெரர்
LECEA	லெசியா
BAIKAL	பைகல்
DO BADAN	தோ பாதன்
RALPH	ரால்ப்
CANYON	கேன்யன்
WARITHAH	வரிதா
BHAI BHAI	பாய் பாய்
BERLIN	பெர்லின்
Kaamanaa	காமானா
Gitano	கிடானோ
THUWAYBAH	துவேபா
PAUL GAUGUIN	பால் காக்வின்
CHIRAAGH	சிராக்
Hionis	ஹியானாய்ஸ்
MAHAARAAJASINH	மஹாராஜாசிங்
JASRAH	ஜஸ்ரா
YOKOMITSU PRIZE	யோகோமிட்ஸு ப்ரைஸ்
FORT HALIFAX	ஃப்போர்ட் ஹாலிஃப்பாக்ஸ்
JHITARURAAM	ஜிதாருராம்
YAMANEE	யமனி
FADEELAH	ஃபதீலா
MAHIMAA	மஹிமா
Braxton	பிராக்ஸ்டன்
NAAG MANI	நாக் மணி
MANJEER	மஞ்சீர்
Maha	மஹா
AMITRASAH	அமித்ராசா
GODE	கோதே
MORTON	மார்டன்
MORTON	மோர்டன்
DIQRAH	திக்ரா
AFLATOON	அஃப்லதூன்
NIRUPAMA	நிருபமா
BANKIMCHANDRA CHATARJEE	பங்கிம்சந்திர சாட்டர்ஜி
GLENYON	கிளேனியான்
SEPTEMBER	செப்டம்பர்
SHER SHIVAJI	ஷேர் ஷிவாஜி
COX PLATE	காக்ஸ் ப்ளேட்
AAINA	ஆய்னா
TAWQIR	தௌக்கீர்
MADHAV	மாதவ்
NICE COTE D'AZUR	நைஸ் கோட் டி'அஸூர்
SANATH KALUPERUMA	சனத் கலுபெருமா
ELECTROLUX	எலக்ட்ரோலக்ஸ்
KHANDUJA	கன்டுஜா
ARKAJ	அர்கஜ்
NOTTINGHAM EAST MIDLANDS	நாட்டிங்கம் ஈஸ்ட் மிட்லேண்ட்ஸ்
VIJAYAVARGEEY	விஜயவர்கீ
VIOLET	வயோலெட்
ARKAN	அர்கன்
VASBERT DRAKES	வாஸ்பர்ட் ட்ரேக்ஸ்
EGG BUCKLAND KEEP	எஃக் பக்லாண்ட் கீப்
LETITIA	லெதிதியா
KIRAYEDAR	கிராயெதார்
MALIKA SALOMI	மலிகா சலோமி
URANIUM	உரேனியம்
BARNALA	பர்னாலா
RICHARD DE GROEN	ரிச்சர்ட் டி கிரோயென்
PROGRESSIVE BAPTIST	புரோகிரெஸிவ் பேப்டிஸ்ட்
AINE	ஐன்
GHAZZAL	கஜல்
Parvarish	பர்வரிஷ்
AULENDA	ஔலேண்டா
DAKSHATA	தக்ஷதா
SILVERLINE SCHOOL, GHAZIABAD	சில்வர்லைன் ஸ்கூல், காஸியாபாத்
MUKARRAM	முக்காராம்
FARIDABAD	ஃபரிதாபாத்
FARIDABAD	ஃபரீதாபாத்
FARIDABAD	பரிதாபாத்
FARIDABAD	பரீதாபாத்
ABHIJIT KALE	அபிஜித் கேல்
Anisa	அனீஸா
BETHLEHEM LUTHERAN	பெத்லஹம் லுதெரன்
KARALE	கரலே
MAHMUD SHABISTARI	மாஹ்முத் ஷாபிஸ்தாரி
CLOVIS	கிளோவிஸ்
JOGLEKAR	ஜோக்லேகர்
JOAN BAZE	ஜோன் பேஸ்
Aetna	ஏஇட்னா
CHOUHAN	செளஹான்
CONSTITUTION	கான்ஸ்டிட்யூஷன்
THABITAH	தாபிதா
BHILDI	பில்டி
ZAIRAH	ஜேரா
QAYAMAT KI RAAT	கயாமத் கி ராத்
BASKETBALL HALL OF FAME	பேஸ்கட்பால் ஹால் ஆஃப் ஃபேம்
Yaachanaa	யாசனா
FRANKLIN D. ROOSEVELT	ஃப்பிரான்க்லின் டி. ரூஸெவெல்ட்
VICTOR	விக்டர்
AURELIA	ஆரேலியா
APRADHI	அப்ராதி
CONLAN	கோன்லன்
Anugamitaa	அனுகாமித்தா
KISHEN KANHAIYA	கிஷென் கன்ஹையா
MANDY	மேண்டி
HUA SAVERA	ஹுவா சவேரா
BURDES	பர்தெஸ்
MANDU	மான்டு
KAYLEEN	கேய்லீன்
KAYLEEN	கேலீன்
SIGOURNEY WEAVER	சிகோர்னி வீவர்
DELORES	டெலோரெஸ்
SHABAH	ஷபா
BOCA RATON COMMUNITY	போகா ரடோன் கம்யுனிட்டி
ARAD FORT	அராத் ஃப்போர்ட்
SANTA MONICA	சான்டா மோனிகா
ACHARYASUTA	ஆசார்யாசுதா
MANDE	மண்டே
ADRIENNE	அட்ரியான்
Taekwondo	டீக்வோண்டோ
GUNDAPPA VISWANATH	குன்டப்பா விஸ்வனாத்
MANDA	மந்தா
UNIVERSITY OF MINNESOTA	யூனிவர்சிட்டி ஆஃப் மின்னசோட்டா
KARN	கார்ன்
GOPICHAND JASOOS	கோபிசந்த் ஜசூஸ்
AHMED AL-BUNI	அஹ்மத் அல்-புனி
SIBLEY	ஸிப்லே
ABDUL NAFEE	அப்துல் நாஃபீ
