Aadhi	ಆದಿ
Pearson	ಪಿಯರ್ಸನ್
Pentamedia	ಪೆಂಟಾಮೀಡಿಯಾ
Peoples	ಪೀಪಲ್ಸ್
Person	ಪರ್ಸನ್
Peters	ಪೀಟರ್ಸ್
Peterson	ಪೀಟರ್ಸನ್
Philo	ಫಿಲೋ
Phoolvati	ಪೂಲ್ವತಿ
Photo	ಫೋಟೋ
Photography	ಫೋಟೊಗ್ರಫಿ
Pick	ಪಿಕ್
Picnic	ಪಿಕ್ನಿಕ್
Picnic	ಪಿಕ್‌ನಿಕ್
Piet	ಪೀಟ್
Place	ಪ್ಲೇಸ್
Plate	ಪ್ಲೇಟ್
Pollock	ಪೋಲಕ್
Polydex	ಪಾಲಿಡೆಕ್ಸ್
Pontiacs	ಪಾಂಟಕ್ಸ್
Pontisse	ಪೊಂಟಿಸಿ
Poori	ಪುರಿ
Pope	ಪೋಪ್
Portela	ಪೋರ್ಟೆಲಾ
Poste	ಪೋಸ್ಟೆ
Prabhati	ಪ್ರಭಾತಿ
Prachur	ಪ್ರಚುರ್
Pramodya	ಪ್ರಮೋದಯ
Pregl	ಪ್ರೆಗ್ಲ್
Premio	ಪ್ರೆಮಿಯೊ
Presernova	ಪ್ರೆಸರ್ನೋವಾ
Press	ಪ್ರೆಸ್
Priest	ಪ್ರೀಸ್ಟ್
Print	ಪ್ರಿಂಟ್
Professional	ಪ್ರೊಫೆಶನಲ್
Profiles	ಪ್ರೊಫೈಲ್ಸ್
Provincien	ಪ್ರೋವಿನ್ಸಿಯನ್
Pruth	ಪ್ರಥ
Publix	ಪಬ್ಲಿಕ್ಸ್
Pucca	ಪಕ್ಕಾ
Pukarega	ಪುಕಾರೇಗಾ
Punja	ಪಂಜಾ
Purab	ಪೂರಬ್
Purani	ಪುರಾನಾ
Puroskar	ಪುರೊಸ್ಕಾರ್
Purvoday	ಪೂರ್ವೋದಯ್
Purza	ಪುರ್ಜಾ
Pyare	ಪ್ಯಾರೆ
Qin	ಕಿನ್
Quad	ಕ್ವಾಡ್
Quality	ಕ್ವಾಲಿಟಿ
Quanoon	ಕ್ವಾನೂನ್
Quarban	ಕುರ್ಬಾನ್
Quila	ಕಿಲಾ
Rada	ರಾಡಾ
Ragoonath	ರಘುನಾಥ್
Rahmah	ರಹಮಾಹ್
Raho	ರಹೋ
Rahu	ರಾಹು
Rain	ರೈನ್
Raina	ರಾಯನ್
Rajesh	ರಾಜೇಶ್
Rajhara	ರಾಜಹಾರಾ
Rakhra	ರಾಖರಾ
Ramco	ರಾಮ್ಕೊ
Ramdin	ರಾಮ್ದಿನ್
Ranchi	ರಾಂಚಿ
Rangeeli	ರಂಗೀಲೀ
Rangeen	ರಂಗೀನ್
Rangile	ರಂಗೀಲೆ
Raqibul	ರಖಿಬುಲ್
Rashk	ರಶ್ಕ್
Rastriya	ರಾಷ್ಟ್ರೀಯ
Reddys	ರೆಡ್ಡಿ
Refin	ರಿಫೈನರಿ
Rennie	ರೆನ್ನೀ
Research	ರಿಸರ್ಚ್
Right	ರೈಟ್
Rim	ರಿಮ್
Ripper	ರಿಪ್ಪರ್
Ritchie	ರಿಚಿ
Robinhood	ರಾಬಿನ್ಹುಡ್
Ronduit	ರಾಂಡ್ಯೂಟ್
Roopaa	ರೂಪಾ
Rootha	ರೂಥಾ
Ruka	ರುಕಾ
Rush	ರಶ್
Ruth	ರುಥ್
Ruzyne	ರುಜೈನ್
Ryan	ರಾಯನ್
Ryanair	ರಾಯನೇರ್
Ryder	ರೈಡರ್
S	ಎಸ್
Saab	ಸಾಬ್
Sachai	ಸಚ್ಚಾಯಿ
Sadashiv	ಸದಾಶಿವ
Sadeem	ಸದೀಮ್
Sadhana	ಸಾಧನಾ
Sadra	ಸದರಾ
Safiyyah	ಸೇಫಿಯಾ
Saful	ಸಫುಲ್
Said	ಸೈದ್
Saiful	ಸೈಫುಲ್
Saigal	ಸೈಗಲ್
Sainte	ಸೆಂಟ್
Saleh	ಸಾಲೇ
Sama	ಸಮಾ
Sammy	ಸಾಮೀ
Sanawbar	ಸನಾವ್ವರ್
Sanitary	ಸ್ಯಾನಿಟರಿ
Sanket	ಸಂಕೇತ್
Sap	ಎಸ್ಎಪಿ
Sapera	ಸಪೇರಾ
Sapera	ಸಪೆರಾ
Sariyah	ಸರೀಯಾ
Sarovar	ಸರೋವರ್
Satta	ಸಟ್ಟಾ
Sattaar	ಸತ್ತಾರ್
Satte	ಸತ್ತೆ
Savu	ಸಾವು
Sawar	ಸವಾರ್
Saymukta	ಸಂಯುಕ್ತ
Schuyler	ಸ್ಕ್ಯೂಲರ್
Scissor	ಸಿಸರ್
Scorpio	ಸ್ಕಾರ್ಪಿಯೊ
Scottish	ಸ್ಕಾಟಿಷ್
Sebastien	ಸೆಬಾಸ್ಟಿಯನ್
Seblat	ಸೆಬ್ಲಟ್
Secunderabad	ಸಿಕೆಂದರಾಬಾದ್
Seedha	ಸೀಧಾ
Seekh	ಸೀಖ್
Sei	ಸೆಯಿ
Seiki	ಸೈಕಿ
Seinfeld	ಸೇನ್ಫೆಲ್ಡ್
Selleck	ಸೆಲೆಕ್
Senior	ಸೀನಿಯರ್
Serjeant	ಸರ್ಜೀಯಂಟ್
Seth	ಸೇಠ್
Shaanxi	ಶಾಂಕ್ಸಿ
Shahdara	ಶಾಹದರಾ
Shakespeare	ಶೇಕ್ಸ್ಪಿಯರ್
Sham	ಶಾಮ್
Shamshera	ಶರಶೇರಾ
Shanda	ಶಾಂಡಾ
Shani	ಶನಿ
Shatrujay	ಶತ್ರುಜಯ್
Shaukat	ಶೌಕತ್
Shaul	ಶಾಲ್
Sheehy	ಶೀಹಿ
Sheetla	ಶೀತಲಾ
Sheikh	ಶೇಕ್
Shek	ಶೆಕ್
Sheridan	ಶೆರಿಡಿಯನ್
Sherwin	ಶೆರ್ವಿನ್
Shillingford	ಶಿಲಿಂಗ್ಫರ್ಡ್
Shivaji	ಶಿವಾಜಿ
Shivam	ಶಿವಂ
Shokh	ಶೋಖ್
Shravanti	ಶ್ರವಂತಿ
Shrawan	ಶ್ರವಣ
Shubelik	ಶುಬೇಲಿಕ್
Shukla	ಶುಕ್ಲಾ
Shun	ಶುಲ್
Siad	ಸಿಯಾಡ್
Sidath	ಸಿದಾತ್
Siddiq	ಸಿದ್ದಿಕ್
Sigourney	ಸಿಗೋರ್ನೀ
Sikkey	ಸಿಕ್ಕೆ
Sills	ಸಿಲ್ಸ್
Silverwood	ಸಿಲ್ವರ್ವುಡ್
Sitaphalmandi	ಸೀತಾಫಲಮಂಡಿ
Sky	ಸ್ಕೈ
Small	ಸ್ಮಾಲ್
Solomon	ಸೋಲೋಮನ್
Solution	ಸಲ್ಯೂಷನ್ಸ್
Somerset	ಸೋಮರ್ಸೆಟ್
Sonia	ಸೋನಿಯಾ
Soolagiri	ಸೋಲಾಗಿರಿ
Sosa	ಸೋಸಾ
Soufli	ಸುಫ್ಲಿ
Soya	ಸೋಯಾ
Special	ಸ್ಪೆಶಲ್
Spielberg	ಸ್ಪೀಲ್ಬರ್ಗ್
Spinning	ಸ್ಪಿನ್ನಿಂಗ್
Spion	ಸ್ಪಿಯನ್
Sponge	ಸ್ಪಾನ್ಜ್
Sriram	ಶ್ರೀರಾಮ್
Stanovoi	ಸ್ಟನೊವೋ
States	ಸ್ಟೇಟ್ಸ್
Steele	ಸ್ಟೀಲೆ
Steels	ಸ್ಟ್ರೀಲ್ಸ್
Stenka	ಸ್ಟೆಂಕಾ
Stephens	ಸ್ಟೀಫನ್ಸ್
Steurgat	ಸ್ಟ್ಯೂಗ್ರಟ್
Strawberry	ಸ್ಟ್ರಾಬೆರ್ರಿ
Strydom	ಸ್ಟ್ರೈಡಂ
Sturt	ಸ್ಟರ್ಟ್
Styris	ಸ್ಟೈರಿಸ್
Su	ಸೂ
Subramanyam	ಸುಬ್ರಮಣ್ಯಂ
Sucre	ಸುಕ್ರ್
Sudirman	ಸುದಿರ್ಮನ್
Suhaga	ಸುಹಾಗಾ
Suhaila	ಸಹೈಲಾ
Suji	ಸುಜಿ
Sulagte	ಸುಲಗತೆ
Sumerpur	ಸುಮೇರ್ಪುರ್
Sundaram	ಸುಂದರಂ
Super	ಸೂಪರ್
Suphapong	ಸುಫಾಪೋಂಗ್
Susana	ಸುಸಾನಾ
Swann	ಸ್ವಾನ್
Swinburne	ಸ್ವಿಂಬರ್ನ್
Synchronised	ಸಿಂಕ್ರನೈಸ್ಡ್
Tabish	ತಬಿಶ್
Tahliana	ತಹಲೀಯಾನಾ
Tailor	ಟೇಲರ್
Taipei	ತೈಪೆ
Tanda	ಟಾಂಡಾ
Tandy	ಟ್ಯಾಂಡಿ
Tansco	ಟಾನ್ಸ್ಕೋ
Tareekh	ತಾರೀಖ್
Tavare	ತವರೆ
Tavern	ಟವರ್ನ್
Tawanda	ತವಾಂಡ
Teeside	ಟೀಸೈಡ್
Telecom	ಟೆಲಿಕಾಮ್
Telegraph	ಟೆಲಿಗ್ರಾಫ್
Terrible	ಟೆರಿಬಲ್
Tessica	ಟೆಸ್ಸಿಕಾ
Tezuka	ತೆಜುಕಾ
Thanda	ಥಂಡಾ
The	ಥೆ
Theatre	ಥಿಯೇಟರ್
Thelston	ತೆಲ್ಸ್ಟನ್
Thermal	ಥರ್ಮಲ್
Thief	ಥೀಫ್
Thilan	ತಿಲನ್
Thilina	ತಿಲಿನಾ
Thorn	ಥಾರ್ನ್
Throgs	ಥ್ರಾಗ್ಸ್
Thug	ಠಗ್
Ticket	ಟಿಕೆಟ್
Tidings	ಟೈಡಿಂಗ್ಸ್
Tiger	ಟೈಗರ್
Tiltman	ಟಿಲ್ಟ್ಮ್ಯಾನ್
Time	ಟೈಮ್
Toluca	ಟೊಲುಕಾ
Tomlin	ಟಾಮ್ಲಿನ್
Torrent	ಟಾರೆನ್ಟ್
Trading	ಟ್ರೇಡಿಂಗ್
Trikaal	ತ್ರಿಕಾಲ್
Trudeau	ಟ್ರೂಟ್ಯೂ
Tsavo	ಸಾವೋ
Tuffey	ಟಫಿ
Tumhara	ತುಮ್ಹಾರಾ
Turco	ಟರ್ಕೊ
Ueberroth	ಯೂಬರೋತ್
Ujesh	ಉಜೇಶ್
Ulster	ಅಲ್ಸ್ಟರ್
United	ಯುನೈಟೆಡ್
Up	ಅಪ್
Usha	ಉಷಾ
Uthata	ಉಠತಾ
Utseya	ಉತ್ಸೆಯ
Vallar	ವಲ್ಲಾರ್
Vaulting	ವಾಲ್ಟಿಂಗ್
Veinticinco	ವೆಂಟಿಸಿಂಕೊ
Velcro	ವೆಲ್ಕ್ರೋ
Vembakottai	ವೆಂಬಕೋಟೈ
Venetian	ವೆನೆಟಿಯನ್
Venkatapathy	ವೆಂಕಟಪತಿ
Verizon	ವೆರಿಜಾನ್
Vesuvius	ವಿಸುವಿಯಸ್
Vibhushan	ವಿಭೂಷಣ
Vikalp	ವಿಕಲ್ಪ್
Vilenica	ವೆಲಿನಿಕಾ
Vivah	ವಿವಾಹ್
Vrashabh	ವೃಷಭ
Vrellis	ವ್ರೆಲ್ಲಿಸ್
Wahidul	ವಹಿದುಲ್
Wal	ವಾಲ್
Wala	ವಾಲಾ
Wallington	ವೆಲ್ಲಿಂಗ್ಟನ್
Wanda	ವಂದಾ
Wasim	ವಾಸಿಂ
Wax	ವ್ಯಾಕ್ಸ್
Whiting	ವೈಟಿಂಗ್
Whitman	ವ್ಹಿಟ್ಮ್ಯಾನ್
Whittall	ವಿಟ್ಟಾಲ್
Whoop	ವೂಪ್
Wijesuriya	ವಿಜಿಸುರಿಯಾ
Williamson	ವಿಲಿಯಂಸನ್
Wishart	ವಿಶಾರ್ಟ್
Wisneski	ವಿಸ್ನೆಸ್ಕಿ
With	ವಿತ್
Woh	ವಹ್
Wolfman	ವುಲ್ಫ್ಮ್ಯಾನ್
Woolley	ವೂಲೆ
Wüttemberg	ವುಟೆಂಬರ್ಗ್
Yadon	ಯಾದೋ
Yashodhar	ಯಶೋಧರ
Yogeendr	ಯೋಗೀಂದ್ರ
Zabbar	ಜಬ್ಬಾರ್
Zaheer	ಜಹೀರ್
Zellweger	ಜೆಲವೆಗರ್
Zeppelin	ಜೆಪೆಲಿನ್
Zindagi	ಜಿಂದಗಿ
Zion	ಜಿಯಾನ್
